Function pointer
,O0,O1,O2,O3,Ofast
g++ 7,42,12,6,6,6
clang++ 3.9.0,42,8,5,5,5



Template parameter
,O0,O1,O2,O3,Ofast
g++ 7,27,3,3,3,3
clang++ 3.9.0,26,6,3,3,3



`function_view`
,O0,O1,O2,O3,Ofast
g++ 7,164,13,6,6,6
clang++ 3.9.0,134,34,5,5,5



`std::function`
,O0,O1,O2,O3,Ofast
g++ 7,332,34,22,24,24
clang++ 3.9.0,267,98,22,22,22
